,代號,股票名稱,上市日,市場別,產業別
8272,4991,環宇-KY,2014-09-15,上櫃,半導體業
8273,4995,晶達,2012-05-09,上櫃,光電業
8274,5009,榮剛,1998-10-17,上櫃,鋼鐵工業
8275,5011,久陽,1999-05-06,上櫃,鋼鐵工業
8276,5013,強新,2000-05-08,上櫃,鋼鐵工業
8277,5014,建錩,2001-02-15,上櫃,鋼鐵工業
8278,5015,華祺,2000-12-15,上櫃,鋼鐵工業
8279,5016,松和,2001-03-05,上櫃,鋼鐵工業
8280,5102,富強,2000-10-27,上櫃,橡膠工業
8281,5201,凱衛,2000-10-12,上櫃,資訊服務業
8282,5202,力新,2000-10-18,上櫃,資訊服務業
8283,5205,中茂,2001-05-14,上櫃,其他電子業
8284,5206,坤悅,2001-10-08,上櫃,建材營造業
8285,5209,新鼎,2002-02-25,上櫃,資訊服務業
8286,5210,寶碩,2002-04-25,上櫃,資訊服務業
8287,5211,蒙恬,2002-12-23,上櫃,資訊服務業
8288,5212,凌網,2003-03-24,上櫃,資訊服務業
8289,5213,亞昕,2003-04-24,上櫃,建材營造業
8290,5220,萬達光電,2018-04-26,上櫃,光電業
8291,5223,安力-KY,2018-07-02,上櫃,電腦及週邊設備業
8292,5227,立凱-KY,2013-12-09,上櫃,電子零組件業
8293,5230,雷笛克光學,2012-06-05,上櫃,光電業
8294,5236,凌陽創新,2021-07-29,上櫃,半導體業
8295,5245,智晶,2015-05-25,上櫃,光電業
8296,5251,天鉞電,2012-11-26,上櫃,光電業
8297,5263,智崴,2012-12-18,上櫃,文化創意業
8298,5272,笙科,2013-05-30,上櫃,半導體業
8299,5274,信驊,2013-04-30,上櫃,半導體業
8300,5276,達輝-KY,2014-06-12,上櫃,其他業
8301,5278,尚凡,2013-06-04,上櫃,電子商務
8302,5281,大峽谷-KY,2016-03-30,上櫃,光電業
8303,5287,數字,2014-01-20,上櫃,電子商務
8304,5289,宜鼎,2013-11-27,上櫃,電腦及週邊設備業
8305,5291,邑昇,2014-12-23,上櫃,電子零組件業
8306,5299,杰力,2018-01-23,上櫃,半導體業
8307,5301,寶得利,1990-06-25,上櫃,觀光事業
8308,5302,太欣,1991-01-17,上櫃,半導體業
8309,5309,系統電,1996-03-18,上櫃,電子零組件業
8310,5310,天剛,1996-04-09,上櫃,資訊服務業
8311,5312,寶島科,1996-05-25,上櫃,生技醫療業
8312,5314,世紀,1996-09-16,上櫃,半導體業
8313,5315,光聯,1996-11-02,上櫃,光電業
8314,5321,美而快,1996-12-30,上櫃,電子零組件業
8315,5324,士開,1997-01-30,上櫃,建材營造業
8316,5328,華容,1997-08-28,上櫃,電子零組件業
8317,5340,建榮,1998-01-20,上櫃,電子零組件業
8318,5344,立衛,1998-03-23,上櫃,半導體業
8319,5345,天揚,1998-03-23,上櫃,其他業
8320,5347,世界,1998-03-25,上櫃,半導體業
8321,5348,系通,1998-04-29,上櫃,通信網路業
8322,5351,鈺創,1998-05-15,上櫃,半導體業
8323,5353,台林,1998-05-18,上櫃,通信網路業
8324,5355,佳總,1998-06-23,上櫃,電子零組件業
8325,5356,協益,1998-07-20,上櫃,電腦及週邊設備業
8326,5364,力麗店,2013-08-26,上櫃,觀光事業
8327,5371,中光電,1999-01-20,上櫃,光電業
8328,5381,合正,1999-03-19,上櫃,電子零組件業
8329,5383,金利,1999-04-14,上櫃,其他電子業
8330,5386,青雲,1999-05-13,上櫃,電腦及週邊設備業
8331,5392,能率,1999-06-14,上櫃,光電業
8332,5398,慕康生醫,1999-10-11,上櫃,其他業
8333,5403,中菲,1999-10-15,上櫃,資訊服務業
8334,5410,國眾,1999-11-26,上櫃,資訊服務業
8335,5425,台半,2000-02-21,上櫃,半導體業
8336,5426,振發,2000-02-09,上櫃,電腦及週邊設備業
8337,5432,新門,2000-03-21,上櫃,光電業
8338,5438,東友,2000-06-17,上櫃,電腦及週邊設備業
8339,5439,高技,2000-06-26,上櫃,電子零組件業
8340,5443,均豪,1998-02-09,上櫃,光電業
8341,5450,南良,2020-06-01,上櫃,其他業
8342,5452,佶優,2000-10-02,上櫃,其他電子業
8343,5455,昇益,2000-10-19,上櫃,建材營造業
8344,5457,宣德,2000-09-29,上櫃,電子零組件業
8345,5460,同協,2000-09-28,上櫃,電子零組件業
8346,5464,霖宏,2000-11-08,上櫃,電子零組件業
8347,5465,富驊,2000-11-08,上櫃,電腦及週邊設備業
8348,5468,凱鈺,2001-01-17,上櫃,半導體業
8349,5474,聰泰,2001-03-20,上櫃,電腦及週邊設備業
8350,5475,德宏,2001-01-16,上櫃,電子零組件業
8351,5478,智冠,2001-03-29,上櫃,文化創意業
8352,5481,新華,2020-06-01,上櫃,其他業
8353,5483,中美晶,2001-03-02,上櫃,半導體業
8354,5487,通泰,2001-02-20,上櫃,半導體業
8355,5488,松普,2001-03-12,上櫃,電子零組件業
8356,5489,彩富,2001-03-12,上櫃,其他電子業
8357,5490,同亨,2001-05-14,上櫃,電腦及週邊設備業
8358,5493,三聯,2001-05-03,上櫃,其他電子業
8359,5498,凱崴,2001-03-29,上櫃,電子零組件業
8360,5508,永信建,1998-05-13,上櫃,建材營造業
8361,5511,德昌,1998-12-09,上櫃,建材營造業
8362,5512,力麒,1998-12-04,上櫃,建材營造業
8363,5514,三豐,1998-12-29,上櫃,建材營造業
8364,5516,雙喜,1999-03-23,上櫃,建材營造業
8365,5520,力泰,1999-10-27,上櫃,建材營造業
8366,5523,豐謙,1999-12-27,上櫃,建材營造業
8367,5529,鉅陞,1996-01-12,上櫃,建材營造業
8368,5530,龍巖,2000-10-04,上櫃,其他業
8369,5536,聖暉,2010-11-10,上櫃,其他電子業
8370,5543,桓鼎-KY,2016-05-09,上櫃,建材營造業
8371,5601,台聯櫃,1994-11-24,上櫃,航運業
8372,5603,陸海,1997-01-25,上櫃,航運業
8373,5604,中連,1997-05-22,上櫃,其他業
8374,5609,中菲行,2001-10-15,上櫃,航運業
8375,5701,劍湖山,1998-03-12,上櫃,觀光事業
8376,5703,亞都,1999-06-15,上櫃,觀光事業
8377,5704,老爺知,1999-12-21,上櫃,觀光事業
8378,5820,日盛金,2002-02-05,上櫃,金融保險業
8379,5864,致和證,2018-04-02,上櫃,金融保險業
8380,5878,台名,2014-10-28,上櫃,金融保險業
8381,5902,德記,1998-02-07,上櫃,貿易百貨業
8382,5903,全家,2002-02-25,上櫃,貿易百貨業
8383,5904,寶雅,2002-09-06,上櫃,貿易百貨業
8384,5905,南仁湖,2003-06-17,上櫃,貿易百貨業
8385,6015,宏遠證,1996-07-25,上櫃,金融保險業
8386,6016,康和證,1996-12-04,上櫃,金融保險業
8387,6020,大展證,2003-01-23,上櫃,金融保險業
8388,6021,美好證,2003-04-21,上櫃,金融保險業
8389,6023,元大期,2007-11-28,上櫃,金融保險業
8390,6026,福邦證,2016-01-27,上櫃,金融保險業
8391,6101,寬魚國際,2001-03-29,上櫃,文化創意業
8392,6103,合邦,2001-05-07,上櫃,半導體業
8393,6104,創惟,2001-05-22,上櫃,半導體業
8394,6109,亞元,2001-07-26,上櫃,通信網路業
8395,6111,大宇資,2001-08-08,上櫃,文化創意業
8396,6113,亞矽,2001-08-10,上櫃,電子通路業
8397,6114,久威,2001-09-27,上櫃,電子零組件業
